id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-4,2024-01-03,000001,Vente,329500,29,,PL DU JURA,0500,01170,01173,Gex,01,,,01173000AI0551,,,175,,29,,,,,,,,2,3,Dépendance,,0,,,,,,6.058695,46.332212
2024-4,2024-01-03,000001,Vente,329500,9001,,PL DU JURA,0500,01170,01173,Gex,01,,,01173000AI0551,,,50,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.058695,46.332212
2024-4,2024-01-03,000001,Vente,329500,29,,PL DU JURA,0500,01170,01173,Gex,01,,,01173000AI0551,,,175,,29,,,,,,,,2,2,Appartement,89,4,,,,,,6.058695,46.332212
2024-4,2024-01-03,000001,Vente,329500,29,,PL DU JURA,0500,01170,01173,Gex,01,,,01173000AI0551,,,175,,29,,,,,,,,2,3,Dépendance,,0,,,,,,6.058695,46.332212
2024-76,2024-01-04,000001,Vente,7000,9001,,RUE DES VERTES CAMPAGNES,0755,01170,01173,Gex,01,,,01173000AP0007,,,1285,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.047194,46.323864
2024-77,2024-01-12,000001,Vente,205000,333,,AV DE LA GARE,0340,01170,01173,Gex,01,,,01173000AI0682,,,112,54.09,,,,,,,,,1,2,Appartement,54,2,,,,,,6.061137,46.332888
2024-77,2024-01-12,000001,Vente,205000,333,,AV DE LA GARE,0340,01170,01173,Gex,01,,,01173000AI0682,,,140,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.061137,46.332888
2024-117,2024-01-11,000001,Vente,260000,342,,RUE DE GENEVE,0360,01170,01173,Gex,01,,,01173000AL0036,,,2,63.17,,,,,,,,,1,3,Dépendance,,0,,,,,,6.059503,46.329117
2024-117,2024-01-11,000001,Vente,260000,342,,RUE DE GENEVE,0360,01170,01173,Gex,01,,,01173000AL0036,,,2,63.17,,,,,,,,,1,2,Appartement,60,3,,,,,,6.059503,46.329117
2024-117,2024-01-11,000001,Vente,260000,342,,RUE DE GENEVE,0360,01170,01173,Gex,01,,,01173000AL0036,,,5,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.059503,46.329117
2024-167,2024-01-09,000001,Vente en l'état futur d'achèvement,272000,,,LES CONTAMINES,B017,01170,01173,Gex,01,,,01173000AK0211,,,1,,,,,,,,,,1,,,,,,,,,,6.055678,46.332026
2024-167,2024-01-09,000001,Vente en l'état futur d'achèvement,272000,,,LES CONTAMINES,B017,01170,01173,Gex,01,,,01173000AK0211,,,67,,,,,,,,,,1,,,,,,,,,,6.055678,46.332026
2024-364,2024-01-25,000001,Vente,448110,341,,RUE MARIUS CADOZ,0562,01170,01173,Gex,01,,,01173000AH0142,,,85,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.061883,46.330288
2024-364,2024-01-25,000001,Vente,448110,341,,RUE MARIUS CADOZ,0562,01170,01173,Gex,01,,,01173000AH0142,,,316,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.061883,46.330288
2024-364,2024-01-25,000001,Vente,448110,341,,RUE MARIUS CADOZ,0562,01170,01173,Gex,01,,,01173000AH0142,,,123,89.19,,,,,,,,,1,2,Appartement,101,4,,,,,,6.061883,46.330288
2024-364,2024-01-25,000001,Vente,448110,205,,CHE DE BELLE FERME,0039,01170,01173,Gex,01,,,01173000AH0142,,,255,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.061883,46.330288
2024-380,2024-01-17,000001,Vente,185000,882,,AV FRANCIS BLANCHARD,0309,01170,01173,Gex,01,,,01173000AP0067,,,21,,,,,,,,,,1,2,Appartement,37,2,,,,,,6.053835,46.324253
2024-380,2024-01-17,000001,Vente,185000,882,,AV FRANCIS BLANCHARD,0309,01170,01173,Gex,01,,,01173000AP0067,,,225,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.053835,46.324253
2024-386,2024-01-24,000001,Vente,245000,8243,,RTE DE LA FAUCILLE,0283,01170,01173,Gex,01,,,011730000B0005,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,564,6.019254,46.369009
2024-386,2024-01-24,000001,Vente,245000,8243,,RTE DE LA FAUCILLE,0283,01170,01173,Gex,01,,,011730000B0005,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,34,0,S,sols,,,564,6.019254,46.369009
2024-386,2024-01-24,000001,Vente,245000,8243,,RTE DE LA FAUCILLE,0283,01170,01173,Gex,01,,,011730000B0005,,,,,,,,,,,,,0,1,Maison,76,3,S,sols,,,564,6.019254,46.369009
2024-424,2024-01-18,000001,Vente,10250,333,,RUE DE GENEVE,0360,01170,01173,Gex,01,,,01173000AH0024,,,55,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.059932,46.329363
2024-481,2024-01-15,000001,Vente en l'état futur d'achèvement,30000,,,LES CONTAMINES,B017,01170,01173,Gex,01,,,01173000AK0201,,,80,,,,,,,,,,1,,,,,,,,,,6.053271,46.332307
2024-612,2024-01-30,000001,Vente,1150,,,LES ESSARTS,B031,01170,01173,Gex,01,,,011730000C0159,,,,,,,,,,,,,0,,,,,P,prés,,,2420,6.04164,46.338997
2024-672,2024-01-29,000001,Vente,210000,173,,RUE MARIUS CADOZ,0562,01170,01173,Gex,01,,,01173000AH0099,,,512,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.063262,46.331279
2024-672,2024-01-29,000001,Vente,210000,249,,RUE MARIUS CADOZ,0562,01170,01173,Gex,01,,,01173000AH0099,,,442,,445,45.85,,,,,,,2,2,Appartement,46,2,,,,,,6.063262,46.331279
2024-672,2024-01-29,000001,Vente,210000,249,,RUE MARIUS CADOZ,0562,01170,01173,Gex,01,,,01173000AH0099,,,442,,445,45.85,,,,,,,2,3,Dépendance,,0,,,,,,6.063262,46.331279
2024-673,2024-01-25,000001,Vente,394840,68,,PL PERDTEMPS,0640,01170,01173,Gex,01,,,01173000AI0182,,,,,,,,,,,,,0,1,Maison,147,4,S,sols,,,55,6.057299,46.335816
2024-778,2024-02-07,000001,Vente,178000,48,,IMP DU BAILLIAGE,1060,01170,01173,Gex,01,,,01173000AM0301,,,24,,43,40.71,,,,,,,2,3,Dépendance,,0,,,,,,6.056011,46.325406
2024-778,2024-02-07,000001,Vente,178000,48,,IMP DU BAILLIAGE,1060,01170,01173,Gex,01,,,01173000AM0301,,,24,,43,40.71,,,,,,,2,2,Appartement,40,2,,,,,,6.056011,46.325406
2024-778,2024-02-07,000001,Vente,178000,48,,IMP DU BAILLIAGE,1060,01170,01173,Gex,01,,,01173000AM0301,,,76,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.056011,46.325406
2024-788,2024-01-16,000001,Vente,21500,20,,IMP DE LA BELETTE,1080,01170,01173,Gex,01,,,01173000AP0007,,,1739,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.047194,46.323864
2024-799,2024-01-31,000001,Vente,242057,333,,RUE DE GENEVE,0360,01170,01173,Gex,01,,,01173000AH0024,,,75,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.059932,46.329363
2024-799,2024-01-31,000001,Vente,242057,333,,RUE DE GENEVE,0360,01170,01173,Gex,01,,,01173000AH0024,,,35,71.47,,,,,,,,,1,2,Appartement,71,3,,,,,,6.059932,46.329363
2024-799,2024-01-31,000001,Vente,242057,333,,RUE DE GENEVE,0360,01170,01173,Gex,01,,,01173000AH0024,,,74,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.059932,46.329363
2024-806,2024-01-31,000001,Vente,230000,454,,RUE DES ABATTOIRS,0011,01170,01173,Gex,01,,,01173000AK0158,,,210,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.055038,46.329374
2024-806,2024-01-31,000001,Vente,230000,454,,RUE DES ABATTOIRS,0011,01170,01173,Gex,01,,,01173000AK0158,,,224,47.59,,,,,,,,,1,2,Appartement,48,2,,,,,,6.055038,46.329374
2024-806,2024-01-31,000001,Vente,230000,454,,RUE DES ABATTOIRS,0011,01170,01173,Gex,01,,,01173000AK0158,,,28,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.055038,46.329374
2024-827,2024-01-25,000001,Vente,173115,256,,AV DE BELLE FERME,0041,01170,01173,Gex,01,,,01173000AH0194,,,96,34.79,,,,,,,,,1,2,Appartement,34,2,,,,,,6.065041,46.332887
2024-827,2024-01-25,000001,Vente,173115,256,,AV DE BELLE FERME,0041,01170,01173,Gex,01,,,01173000AH0194,,,132,12,,,,,,,,,1,3,Dépendance,,0,,,,,,6.065041,46.332887
2024-827,2024-01-25,000001,Vente,173115,254,,AV DE BELLE FERME,0041,01170,01173,Gex,01,,,01173000AH0194,,,353,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.065041,46.332887
2024-844,2024-02-05,000001,Vente,601000,75,,PAS DU SQUARE,0670,01170,01173,Gex,01,,,01173000AI0334,,,,,,,,,,,,,0,1,Maison,96,4,S,sols,,,771,6.060987,46.333192
